Name,Ingredients,Instructions,vegan,gluten-free,vegetarian,fruit
Semolina slices with honey (for 4 servings),"['150 g cornmeal/polenta', '1/2 l whole milk', '1 vanilla pod', '1 pinch of salt', '1 tsp cinnamon', '2 eggs', '50 g butter', '4 tbsp honey']","['Bring the milk to a boil with a vanilla bean and a pinch of salt.', 'Remove the vanilla bean, split it open, and scrape the seeds into the milk.', 'Gradually sprinkle the semolina into the milk while stirring. Bring to a boil, remove the pot from the heat, and let the semolina pudding swell and cool slightly while stirring occasionally.', 'Stir in eggs and cinnamon into the lukewarm semolina mixture. Grease a piece of baking paper (about 20 x 30 centimeters) with half of the butter and spread the mixture on it to a thickness of about one finger and let it cool. Then cut into eight lozenges.', 'Melt the butter in a pan over medium heat and fry the semolina slices until golden brown on both sides.', 'Drizzle with honey and serve immediately. ']",False,True,True,True
Potato and Spinach Gratin (serves 4),"['1 kg floury or predominantly firm cooking potatoes', '200 g cream', 'Salt, pepper, nutmeg', '1 kg spinach (600 g frozen leaf spinach)', '1 onion', '1 clove of garlic', '2 tbsp oil', '2 tbsp balsamic vinegar', 'Salt, pepper, nutmeg', '150 g grated cheese']","['Peel potatoes and slice or grate thinly.', 'Layer potato slices in a buttered gratin dish or casserole dish.', 'Mix cream with spices and pour over the potatoes.', 'Place gratin in a cold oven, bake at 200 degrees Celsius for 40 minutes.', 'Clean, wash, and spin dry spinach.', 'Peel and finely dice onion and garlic, then sauté in hot oil.', 'Add spinach and sauté over low heat until it wilts.', 'Deglaze with balsamic vinegar and season with salt, freshly ground pepper, and nutmeg.', 'Pour spinach over the potatoes, sprinkle with cheese, and bake for an additional 15 minutes.']",False,True,True,True
Buckwheat salad (for 4 servings),"['125 g buckwheat', '1 apple', '1 red bell pepper', '2 spring onions, sliced into rings', '2 tbsp sunflower oil', 'Salt, hot paprika powder', '10 g ginger, fresh (finely chopped)', 'Juice of one lemon', '1 tbsp honey']","['Cook buckwheat with about twice the amount of water for 15 minutes.',
 'In the meantime, prepare the salad dressing with honey, lemon juice, oil, and spices.',
 'Thoroughly wash apple and bell pepper, cut the apple into thin strips, dice the bell pepper.',
 'Mix all ingredients well, season to taste with sweet-sour-spicy flavors, and let it sit for 20 minutes.']",False,False,True,False
Green spelt patties (for 4 servings),"['200 g cracked spelt', '400 ml water', '1 onion, finely chopped', '1 carrot, finely grated', '1 tbsp wholemeal flour', '1 egg', '1/2 bunch of parsley, chopped', 'Salt, pepper, marjoram', 'Oil for frying (e.g. olive oil, sunflower oil)'] ","['Put spelt groats in a pot with water, bring to a boil, and then let swell at low heat for ten minutes.', 'Peel and dice an onion, clean and finely grate a carrot, and stir under the spelt mixture along with the spices and let swell for another ten minutes.', 'Let the spelt groats cool slightly, mix in a tablespoon of flour, a raw egg, and finely chopped parsley, season generously.', 'Shape small patties from the spelt mixture and fry them in hot oil until crispy on both sides. (Do not flip the patties too early to avoid them falling apart.)']",True,False,True,False
Green spelt soup (serves 4),"['125 g cracked spelt', '1 l vegetable broth', '6 carrots', '1 celeriac', '3 onions', '1/2 tsp dried marjoram', '1/4 tsp lovage', '1/4 bunch of flat-leaf parsley', 'Salt, pepper', '4 tsp sour cream']","1. Bring the cracked spelt with the vegetable broth to a boil and let it simmer lightly for ten minutes.
2. In the meantime, wash, clean, and peel the vegetables.
3. Cut five carrots into 0.5 centimeter-thick slices, dice the celery and onions, and add everything to the soup.
4. Stir in the spices and let it simmer for another 10 minutes.
5. Cut the remaining carrot into thin slices.
6. Finely chop the parsley, add it to the soup along with the carrot slices.
7. Reheat, adjust the seasoning.
8. Divide the soup among four soup plates and garnish with sour cream.",False,False,True,True
Millet with spicy tomato sauce (for 4 servings),"['250 g millet (whole grain)', '4 tbsp olive oil or sunflower oil', '2 onions', '2 cloves of garlic', '2 apples', '4 tbsp tomato paste', '2 tbsp whole wheat flour', '1/2 tsp oregano', 'thyme, lovage, salt, pepper', '1 tbsp vinegar', 'grated cheese to taste']","['Cook millet in double the amount of salted water for about 15 minutes.', 'Finely dice onion, sauté with crushed garlic in olive oil until translucent.', 'Thoroughly wash apples, remove core, cut into cubes, and sauté in olive oil as well.', 'Stir in spices and tomato paste, add about 200 ml water, let simmer over low heat for another 2 minutes.', 'Dissolve whole grain flour in a bit of cold water, use it to thicken the tomato sauce, briefly bring to a boil and remove from heat.', 'Season with vinegar and spices.', 'Serve the millet with tomato sauce and sprinkle with grated cheese.']",False,False,True,False
Red lentil cakes with spring onions (makes about 12 cakes),"['200 g red lentils', '400 ml vegetable broth', '3 spring onions', '1 onion', '1 tbsp olive oil', '1 clove of garlic', '2 carrots', '100 g oats', '1-2 tbsp whole wheat flour', '1 egg', '50 g quark or cream cheese', 'mixed herbs', 'pepper, salt, ground cumin', 'juice of 1/2 lemon', '6 tbsp olive oil for fryingPreparation:']","['Bring the lentils in the vegetable broth to a boil and let them swell on the lowest heat for 15 minutes, until the lentils still have a slight bite.', 'Wash, clean, and chop spring onions and carrots.', 'Peel and finely dice the onion and garlic clove, and sauté with the vegetables in olive oil for 5 minutes.', 'Mix the sautéed vegetables with lentils, oats, flour, herbs, egg, and quark. Season vigorously with pepper, salt, lemon juice, and caraway seeds.', 'Heat 2 tablespoons of oil in a pan. Spoon four portions of the lentil mixture into the hot oil, smooth them out and fry at medium heat for about 5 minutes, carefully flip and finish frying in 3 minutes. Proceed with the remaining mixture in the same way.']",False,False,True,False
Dough pockets (piroshki) with vegetable filling (for 16 dough pockets),"['250 g whole wheat flour', '1/2 cube of yeast', '1 tsp honey', '300 ml lukewarm water', '2 tsp salt']","Dissolve yeast and honey in warm water. Pour over the flour and knead into a smooth dough. Knead in salt and let the dough rest for 30 minutes.

Peel and finely dice the onion.

Wash, clean, and thinly slice the leek.

Sauté the onions in hot oil until translucent, add the leek and let it simmer for 10 minutes covered and over low heat.

Fold in the sour cream into the vegetables and season with pepper and salt.

Roll out the dough very thinly on a floured surface and cut out circles with a diameter of about 10 centimeters.

Place about a teaspoon of filling on one half of each circle, making sure not to cover the edges.

Mix the egg yolk and egg white well.

Brush the edges with egg, fold the circles into half-moon-shaped pockets, and press the edges firmly together.

Place the vegetable pockets on a greased or parchment-lined baking sheet. Brush the top with egg and sprinkle with some sesame seeds.

Place in a cold oven and bake at 200 degrees Celsius for 20 minutes.",False,False,True,True
Fruity Sauerkraut Salad (for 4 servings),"['600 g sauerkraut', '50 g raisins', '50 g dried apricots', '50 g prunes', 'juice of one orange', '75 g sunflower seeds', '1 small apple', '150 g sour cream', '1 tbsp sunflower oil', 'salt, black pepper']","Wash dried fruit, drain and let soak in orange juice for a few hours or overnight. 
Toast sunflower seeds in a dry pan over medium heat. 
Wash apple, remove core, cut into eighths and slice thinly. 
Pour off orange juice from the dried fruit and mix with sour cream, oil, pepper and salt to make a salad dressing. 
Cut large pieces of dried fruit into small pieces. 
Mix dried fruit, apple slices and sunflower seeds into the sauerkraut. 
Pour the dressing over the salad and serve.",False,True,True,False
Spinach risotto (for 4 servings),"['1 kg spinach', '1 onion', '1 clove of garlic', '2 tbsp olive oil', '500 g whole grain round rice', '1 l vegetable broth', 'Salt, pepper, nutmeg', '100 g grated cheese (preferably Parmesan)']","['Clean, wash, and drop the wet spinach into a hot, dry pot and stew, stirring, until it collapses. Place in a colander and set aside.', 'Peel and finely chop the onion and garlic, then sauté in olive oil until translucent.', 'Add the rice to the onions, briefly fry, and deglaze with vegetable broth. Bring to a boil and let simmer covered on low heat for 15 minutes.', 'Add the spinach to the rice and let simmer covered in the pot for another 15 minutes.', 'Season with salt, pepper, and nutmeg.', 'Stir in the cheese and serve immediately.']",False,True,True,False
Crumble casserole with rhubarb (for 4 servings),"['100 g oats', '200 g whole wheat flour', '100 g whole cane sugar', '1 pinch of salt', '1/2 tsp cinnamon', '80 g cold butter']","['Mix oats, flour, sugar, salt, and cinnamon and distribute the butter in flakes on top.', 'Knead everything into a crumble dough using the dough hooks of the mixer.', 'Cover the dough and refrigerate.']",False,False,True,True
Strawberry-rhubarb compote (for 4 servings),"['500 g rhubarb', '250 g strawberries', '400 ml apple juice', '2 tbsp cornstarch', '1/2 tsp cinnamon', '1 pinch of ground vanilla', '2 tbsp honey']","['Wash rhubarb and strawberries. Peel the rhubarb and clean the strawberries. Cut both into bite-sized pieces.', 'Mix 100 ml cold apple juice with cornstarch, honey, vanilla, and cinnamon and set aside. Bring the remaining apple juice to a boil. Add the rhubarb and let simmer over low heat for just under 5 minutes.', 'Remove the pot from the heat, turn off the stove, stir the cornstarch mixture into the compote, and briefly bring to a boil again on the hot stove.', 'Gently fold in the strawberries.']",False,True,True,False
Green spelt spread (for 10 servings),"['50 g cracked spelt', '125 ml water', '4 tbsp olive oil', '1 onion', 'salt, pepper', '1/2 tsp marjoram', '1/2 tsp lovage', '2 tbsp chopped parsley']","['Bring emmer semolina to a boil with water and let it steep for about 20 minutes on low heat.', 'Peel and dice an onion, then sauté in a tablespoon of olive oil until translucent.', 'Purée the emmer together with the onion, stirring in another three tablespoons of olive oil.', 'Season generously with the chopped herbs and spices.']",True,False,True,False
Kohlrabi gratin with ginger (for 4 servings),"['4 kohlrabi', '20g butter', 'juice of 1/2 lemon', '20g fresh ginger or alternatively 1 tsp ginger powder', '200ml sweet cream', '1 egg', '100g emmental cheese', 'salt, black pepper']","['Wash and peel the kohlrabi. Wash the tender leaves and set aside. Coarsely grate the bulbs and place them in a buttered casserole dish.', 'Drizzle lemon juice over the vegetables.', 'Finely grate ginger and finely chop the kohlrabi greens.', 'Mix both with egg, cream, pepper, and salt and pour over the vegetables.', 'Finely grate the cheese and sprinkle over the gratin.', 'Distribute the remaining butter in small flakes on top.', 'Bake the gratin at 200 degrees Celsius for 40 minutes until the cheese is golden brown.']",False,True,True,False
Chard Strudel (for 4 servings),"['250 g finely ground wholemeal spelt flour', '1/2 tsp salt', '4 tbsp cold-pressed sunflower oil', 'approx. 1/8 l lukewarm water']","['Mix flour, salt, and sunflower oil. Gradually add water and use the kneading hooks of a mixer to form a smooth, tough dough. Knead the dough vigorously by hand and slam it on the table several times. Cover the dough and let it rest at room temperature for about 1 hour.', 'Meanwhile, wash, clean, and roughly chop the chard.', 'Peel and dice the onion and garlic clove, then sauté them in oil until translucent. Add the wet chard and cook while stirring until it collapses.', 'Wash and finely chop the parsley.', 'Drain excess liquid from the chard. Season the vegetable mixture strongly with thyme, pepper, and salt, allow it to cool briefly, then fold in cottage cheese and parsley.', 'Roll out the dough as thinly as possible on a floured dish towel. Brush with 2/3 of the melted butter and sprinkle with breadcrumbs.', 'Do not spread the vegetable mixture all the way to the edge. Fold in the edges and roll up the strudel with the help of the dish towel.', 'Place the strudel on a greased baking sheet and brush with the remaining butter.', 'Place in a cold oven and bake at 200 degrees Celsius on the middle rack for 45 minutes.']",True,False,True,True
Marinated asparagus with baked potatoes (serves 4),"['2 kg asparagus', '3 l water', '1 tsp salt', '1 tsp sugar', '1 knob of butter', '1/4 lemon']","['Brush potatoes, halve lengthwise, and brush all around with olive oil.', 'Place cut side down on a baking sheet and sprinkle with salt and sesame.', 'Bake in the oven at 200 degrees Celsius for about 40 minutes.', 'Peel asparagus.', 'In a long pot (such as a roasting pan), bring water, salt, sugar, butter, and lemon to a boil.', 'Add asparagus to the boiling water and place a kitchen towel on top of the pot to keep the spears submerged. Cook over medium heat for 15 minutes. Check for doneness and cook for an additional 5 minutes if necessary.', 'Mix ingredients for the marinade together.', 'Remove asparagus from the cooking water and arrange on a plate or in a shallow baking dish. Pour the marinade over and let it sit for a while. Serve warm or cold with the baked potatoes.']",False,True,True,False
Asparagus fricassee with eggs (for 4 servings),"['750 g asparagus', '4 eggs', '1 kg young potatoes', '1 cup milk', '2 tbsp whole wheat flour', 'fresh parsley', 'salt, pepper, nutmeg', '2 tbsp lemon juice', '1 tbsp butter']","['Peel asparagus and cut into 3 centimeter long pieces.', 'Cook asparagus pieces in a small amount of water with a pinch of salt and sugar until al dente.', 'Keep asparagus warm and save the broth.', 'Hard boil eggs, peel and quarter them.', 'Cook potatoes as boiled potatoes, keep warm.', 'Mix flour in cold milk to thicken the asparagus broth.', 'Season with salt, nutmeg, and pepper, and add lemon juice to taste.', 'Add eggs and asparagus to the sauce, refine with butter.', 'Finely chop parsley.', 'Serve the fricassee with young potatoes on plates and sprinkle with parsley.']",False,False,True,False
Spinach Pizza (for 4 servings),"['400 g whole wheat flour', '30 g yeast', '1 tsp honey', '1/4 l milk', '1 egg', '60 g butter', 'salt', '3 tbsp olive oil', '1 tbsp tomato paste', '4 tbsp cream cheese', 'oregano', '1 onion', 'pepper, nutmeg', '1 kg fresh spinach', '200 g grated cheese']","['Put the whole wheat flour in a large bowl, make a well in the center, crumble the yeast into it, stir in the milk warmed to 37 degrees Celsius, the beaten egg and the melted butter (lukewarm), as well as a pinch of salt and honey.', 'Gradually knead in the flour.', 'Cover the dough with a cloth and let it rise in a warm place until it has doubled in size (about one hour).', 'Roll out the dough, place it on a greased baking sheet, let it rise for another 30 minutes.', 'Mix quark, tomato paste, and two tablespoons of olive oil, season with oregano. Spread this mixture evenly on the pizza base.', 'Peel and dice an onion, sauté in a large pot with a tablespoon of olive oil.', 'Clean, wash, spin dry and cut spinach into bite-sized pieces, then add to the onions.', 'Heat briefly until it wilts, season with nutmeg, salt, and pepper.', 'Spread the spinach and onions on the pizza base, sprinkle with grated cheese.', 'Bake the pizza in a preheated oven on the lower rack at 200 degrees Celsius for about 20 minutes.']",False,False,True,False
Cauliflower Salad (for 4 servings),"['1 small cauliflower (approx. 500 g)', '2 bananas', '150 g yogurt', '2 tbsp sunflower oil', 'Juice of one lemon', '1/2 tsp curry powder', '1 - 2 tsp honey', 'Salt, black pepper']","['Wash the cauliflower, possibly briefly blanch and cut into florets.', 'Puree the bananas and mix with yogurt, oil, lemon juice, curry, honey, pepper, and salt to make a salad dressing.', 'Coarsely grate the cauliflower into the salad dressing.']",False,True,True,False
Broad bean casserole (serves 4),"['300 g fresh broad beans (approx. 500 g with pods)', '500 g potatoes', '500 g carrots', '1 onion', '1 clove of garlic', '2 tbsp olive oil', '1/8 l vegetable broth', '1 bunch of spring onions', '1/2 bunch of parsley', '300 g yogurt', '100 g Emmental cheese', 'Salt, pepper', '1 tsp white wine vinegar']","['Remove the beans from their pods.', 'Peel and dice the garlic and onion. Clean and slice the carrots, peel and dice the potatoes. Wash and sort the beans.', 'Sauté the garlic and onion in oil until translucent.', 'Add the beans, carrots, and potatoes gradually.', 'Deglaze with vegetable broth and simmer over low heat for about 25 minutes.', 'Meanwhile, wash and slice the spring onions. Chop the parsley. Grate the Emmental cheese coarsely.', 'Mix yogurt with parsley, spring onions, salt, pepper, and vinegar, and fold into the vegetables.', 'Transfer to a baking dish and sprinkle with the cheese.', 'Bake at 200 degrees Celsius for about 20 minutes until golden brown.']",False,True,True,False
Strawberry Yogurt Cream Ice Cream (for 4 servings),"['500 g strawberries', '250 g natural yoghurt', '4 tbsp milk', '200 ml whipping cream', '2 tbsp whole cane sugar']","""Wash strawberries and remove stems, then halve them."", ""Whip cream until stiff."", ""Puree strawberry halves in a blender, then sweeten with sugar."", ""Mix strawberries with yogurt, fold in whipped cream, transfer to a freezer-safe container and place in the freezer."", ""After 30 minutes, thoroughly stir the ice cream, then return to the freezer for another 30 minutes."", ""After a total of 60 to 90 minutes, the ice cream is ready to serve.""",False,True,True,True
Baden-style potato salad (for 4 servings),"['1 kg potatoes', '1 small cucumber', '1 onion', '1 bunch of chives', '1/8 l vegetable broth', '3 tbsp sunflower oil', '3 tbsp white wine or apple cider vinegar', '1 tsp mustard', '1 tsp honey', 'salt, black pepper']","['Boil potatoes with skins until they are cooked.', 'Meanwhile, bring the vegetable broth to a boil. Peel and finely dice the onion.', 'Wash the cucumber, peel if desired, and grate coarsely. Wash and chop the chives.', 'Mix vinegar, oil, mustard, honey, pepper, and salt to make a marinade.', 'Rinse the potatoes with cold water, let them cool slightly, then peel while still warm and slice into not too thin slices.', 'Pour the hot vegetable broth over the potatoes.', 'Mix cucumber, onions, chives, and marinade into the potato salad.', 'Cover and let the potato salad sit until most of the liquid is absorbed.']",False,True,True,False
Cherry pudding (for 4 servings),"['6 stale whole wheat rolls', '1/4 l milk', '750 g sour cherries', '3 eggs', '80 g butter', '5 tbsp honey', '80 g butter', '5 tbsp honey', '1 tsp cinnamon', '10 g butter', '2 tbsp whole wheat breadcrumbs']","Cut the rolls into slices and place them in a large mixing bowl. Bring the milk to a boil and pour it over the rolls. Let it soak covered with a plate for 15 minutes. Wash and pit the cherries. Separate the eggs and beat the egg whites until stiff. Cream the butter, gradually stir in the honey, cinnamon, and egg yolks. Mix the foamy mixture with the soaked rolls. Gently fold in the beaten egg whites. Grease a baking dish with some butter, pour half of the batter, distribute the cherries on top, cover with the remaining batter. Sprinkle wholemeal breadcrumbs on top and distribute the remaining butter in flakes. Place the casserole in the cold oven and bake at 200 degrees Celsius for about 50 minutes, then let it sit in the turned-off oven for another 10 minutes.",False,False,True,True
Kohlrabi schnitzel (for 4 servings),"['2 kohlrabi', '1 egg', '4 tbsp milk', 'breadcrumbs', 'salt, pepper, nutmeg', 'oil for frying (e.g. sunflower oil, rapeseed oil)']","['Peel kohlrabi and cut into slices about one centimeter thick.', 'Blanch them briefly in boiling salted water and drain well.', 'Beat the raw egg with the milk and pour onto a medium-sized plate.', 'Mix the breadcrumbs with salt and pepper.', 'Coat kohlrabi slices first in egg, then in breadcrumbs.', 'Fry in hot oil until golden brown on both sides.']",False,True,True,True
Lollo Rosso with Strawberries (for 4 servings),"['1 head of Lollo Rosso lettuce', '250 g strawberries', '100 g hard cheese (e.g. Emmental)', '4 tbsp mild oil (e.g. sunflower oil)', '2 tbsp white wine vinegar', '1 tbsp strawberry jam', 'Salt, black pepper from the mill']","[Wash, destem, and quarter the strawberries, marinate with a tablespoon of vinegar.](Marinate strawberries by washing, destemming, and quartering them with a tablespoon of vinegar.)

 [Clean, wash, spin dry, and cut the lettuce into strips.](Clean, wash, spin dry, and cut the lettuce into strips.)

[Prepare a salad dressing from oil, vinegar, salt, and jam.](Prepare a salad dressing by mixing oil, vinegar, salt, and jam.)

[Toss the salad with the dressing and arrange on four large plates.](Mix the salad with the dressing and arrange it on four large plates.)

[Cut the cheese into thin, long strips and drape them in a star shape on the salad plates, distribute the strawberry quarters on top, sprinkle some black pepper over it.](Slice the cheese into thin, long strips and arrange them in a star shape on the salad plates, place the quartered strawberries on top, and sprinkle with some black pepper.)",False,True,True,False
Rhubarb cake (for 12 pieces),"['125 g Butter', '3 egg yolks', '200 g whole grain wheat flour', '1/2 packet baking powder', '4 tbsp milk', 'Salt', '150 g whole cane sugar', '3 egg whites', '500 g rhubarb', 'Fat for the baking dish']","'Prepare all ingredients, separate egg yolks from egg whites cleanly, grease a springform pan.', 'Peel rhubarb and cut into 2 centimeter long pieces.', 'Preheat the oven.', 'Whisk egg yolks and butter until frothy, then stir in 100 grams of sugar and 4 tablespoons of milk.', 'Evenly mix baking powder with wholemeal flour and fold into the batter. (The finished batter should fall heavily from the spoon with a slight tear. If the batter is too thick, mix in a little more milk.)', 'Pour the batter into the greased springform pan, evenly distribute the raw rhubarb pieces on top.', 'Bake in the preheated oven at 180 degrees Celsius on the middle rack for about 25 to 30 minutes.', 'Meanwhile, beat egg whites with a pinch of salt until stiff peaks form, then gradually fold in 50 grams of sugar. When the first 25 minutes of baking time have passed, spread the meringue on top of the cake and bake for another 15 to 20 minutes.'",False,False,True,True
Blueberry quark (for 4 servings),"['250 g blueberries', '2 tbsp honey', '250 g low-fat quark', '200 ml heavy cream', '1 pinch ground vanilla']","['Wash blueberries and marinate with 1 tbsp honey for 1 to 2 hours.', 'Mix quark with 1 tbsp honey and vanilla.', 'Whip cream until stiff.', 'Add the quark spoon by spoon to the whipped cream and gently stir in.', 'Finally, fold the marinated blueberries into the quark cream.']",False,True,True,True
Italian pasta salad (for 4 servings),"['500 g pasta (e.g. farfalle)', '500 g tomatoes', '2 mozzarella balls (approx. 250 g)', '1 bunch of arugula', '50 ml olive oil', 'salt, pepper', '1/2 tsp honey or sugar']","['Boil pasta in salted water for about 10 minutes.', 'Dice tomatoes and mozzarella.', 'Cut arugula into strips.', 'In a salad bowl, mix olive oil, salt, pepper, and honey, add tomatoes, mozzarella, and arugula.', 'Drain pasta and add it hot to the tomato-mozzarella mixture.', 'Let cool briefly and serve warm to cold.']",False,True,True,False
