Name,Ingredients,Instructions
Grießschnitten mit Honig (für 4 Portionen),"['150 g Maisgrieß/Polenta', '1/2 l Vollmilch', '1 Vanillestange', '1 Prise Salz', '1 TL Zimt', '2 Eier', '50 g Butter', '4 EL Honig']","['Die Milch mit Vanillestange und einer Prise Salz aufkochen.', 'Vanillestange herausnehmen, aufschneiden und das Mark in die Milch geben.', 'Den Grieß unter Rühren in die Milch einrieseln lassen. Aufkochen lassen, den Topf vom Herd nehmen und den Grießbrei unter gelegentlichem Rühren ausquellen und etwas abkühlen lassen.', 'Eier und Zimt unter die noch lauwarme Grießmasse rühren. Ein Stück Backpapier (circa\xa020\xa0x\xa030\xa0Zentimeter) mit der Hälfte der Butter einfetten und die Masse darauf fingerdick ausstreichen und erkalten lassen. Dann acht\xa0Rauten ausschneiden.', 'In einer Pfanne die Butter auf mittlerer Hitze schmelzen lassen und die Grießschnitten darin beidseitig gold-gelb anrösten.', 'Mit Honig beträufeln und sofort servieren.']"
Kartoffel-Spinat-Gratin (für 4 Portionen),"['1 kg mehlig\xa0oder vorwiegend fest kochende Kartoffeln', '200 g Sahne', 'Salz, Pfeffer, Muskat', '1 kg Spinat (600 g Tiefkühl-Blattspinat)', '1 Zwiebel', '1 Knoblauchzehe', '2 EL Öl', '2 EL Balsamessig', 'Salz, Pfeffer, Muskat', '150 g geriebener Käse']","['Kartoffeln schälen und in dünne Scheiben schneiden oder hobeln.', 'Kartoffelscheiben in eine gebutterte Gratin- oder Auflaufform schichten.', 'Sahne mit Gewürzen vermischen und über die Kartoffeln gießen.', 'Gratin in den kalten Ofen stellen, bei 200\xa0Grad Celsius 40\xa0Minuten backen.', 'Spinat putzen, waschen und schleudern.', 'Zwiebel und Knoblauch schälen, fein würfeln und im heißen Öl andünsten.', 'Spinat zugeben und bei geringer Hitze mit dünsten, bis er zusammenfällt.', 'Mit Balsamessig ablöschen und mit Salz, frisch gemahlenem Pfeffer und Muskat würzen.', 'Spinat über die Kartoffeln geben und mit Käse bestreuen, weitere 15\xa0Minuten fertig backen.']"
Buchweizensalat (für 4 Portionen),"['125 g Buchweizen', '1 Apfel', '1 Paprikaschote, rot', '2 Frühlingszwiebeln, in Ringe geschnitten', '2 EL Sonnenblumenöl', 'Salz, Paprikapulver scharf', '10 g Ingwer, frisch (in winzige Stückchen geschnitten)', 'Saft von einer Zitrone', '1 EL Honig']","['Buchweizen mit circa der doppelten Menge Wasser 15\xa0Minuten garen.', 'In der Zwischenzeit die Salatsoße aus Honig, Zitronensaft, Öl und den Gewürzen bereiten.', 'Apfel und Paprika gründlich waschen, Apfel in schmale Streifen schneiden, Paprikaschote würfeln.', 'Alle Zutaten gut vermischen, süß-sauer-scharf abschmecken und 20\xa0Minuten durchziehen lassen.']"
Grünkernbratlinge (für 4 Portionen),"['200 g Grünkernschrot', '400 ml Wasser', '1 Zwiebel, fein gehackt', '1 Möhre, fein geraspelt', '1 EL Vollkornmehl', '1 Ei', '1/2 Bund Petersilie, gehackt', 'Salz, Pfeffer, Majoran', 'Öl zum Braten (z.B. Olivenöl, Sonnenblumenöl)']","['Grünkernschrot mit Wasser in einen Topf geben, aufkochen lassen und anschließend bei geringer Hitze zehn Minuten ausquellen lassen.', 'Zwiebel schälen und würfeln, Möhre putzen und fein raspeln, und mit den Gewürzen unter die Grünkernmasse rühren und weitere zehn Minuten quellen lassen.', 'Grünkernschrot etwas abkühlen lassen, einen Esslöffel Mehl, ein rohes Ei und die feingehackte Petersilie untermischen, kräftig abschmecken.', 'Aus der Grünkernmasse kleine Bratlinge formen und in heißem Öl von beiden Seiten knusprig braten. (Die Bratlinge nicht zu früh wenden, damit sie nicht zerfallen.)']"
Grünkernsuppe (für 4 Portionen),"['125 g Grünkernschrot', '1 l Gemüsebrühe', '6 Möhren', '1 Sellerieknolle', '3 Zwiebeln', '1/2 TL Majoran, getrocknet', '1/4 TL Liebstöckel', '1/4 Bund glatte Petersilie', 'Salz, Pfeffer', '4 TL saure Sahne']","['Den Grünkernschrot mit der Gemüsebrühe zum Kochen bringen und zehn Minuten leicht köcheln lassen.', 'In der Zwischenzeit das Gemüse waschen, putzen beziehungsweise schälen.', 'Fünf\xa0Möhren in 0,5\xa0Zentimeter-dicke Scheiben schneiden, Sellerie sowie Zwiebeln würfeln und alles zur Suppe geben.', 'Gewürze unterrühren und nochmals 10\xa0Minuten köcheln lassen.', 'Die verbliebene Möhre in millimeterdünne Scheiben schneiden.', 'Petersilie fein hacken, zusammen mit den Möhrenscheiben\xa0zur Suppe geben.', 'Nochmals erwärmen, abschmecken.', 'Die Suppe auf vier Suppenteller verteilen und mit saurer Sahne verzieren.']"
Hirse mit pikanter Tomatensauce (für 4 Portionen),"['250 g Hirse (ganzes Korn)', '4 EL Olivenöl oder Sonnenblumenöl', '2 Zwiebeln', '2 Knoblauchzehen', '2 Äpfel', '4 EL Tomatenmark', '2 EL Weizenvollkornmehl', '1/2 TL Oregano', 'Thymian, Liebstöckel, Salz, Pfeffer', '1 EL Essig', 'nach Belieben: geriebener Käse']","['Hirse in der doppelten Menge Salzwasser circa 15\xa0Minuten garen.', 'Zwiebel fein würfeln, mit dem zerdrückten Knoblauch in Olivenöl glasig dünsten.', 'Äpfel gründlich waschen, vom Kerngehäuse befreien, in Würfel schneiden und ebenfalls im Olivenöl dünsten.', 'Gewürze und Tomatenmark unterrühren, circa 200\xa0ml Wasser zugeben, bei geringer Hitze noch 2\xa0Minuten leicht köcheln lassen.', 'Das Vollkornmehl mit etwas kaltem Wasser anrühren, die Tomatensauce damit binden, kurz aufkochen lassen und vom Herd nehmen.', 'Mit Essig und Gewürzen abschmecken.', 'Die Hirse mit Tomatensauce anrichten und mit geriebenem Käse bestreuen.']"
Rote Linsenküchle mit Frühlingszwiebeln (für circa 12 Küchle),"['200 g rote Linsen', '400 ml Gemüsebrühe', '3 Stangen Frühlingszwiebeln', '1 Zwiebel', '1 EL Olivenöl', '1 Knoblauchzehe', '2 Möhren', '100 g Haferflocken', '1 - 2 EL Weizenvollkornmehl', '1 Ei', '50 g Quark oder Frischkäse', 'gemischte Kräuter', 'Pfeffer, Salz, gemahlener Kümmel', 'Saft 1/2 Zitrone', '6 EL Olivenöl zum BratenZubereitung:']","['Die Linsen in der Gemüsebrühe aufkochen und auf kleinster Hitze 15 Minuten ausquellen lassen, bis die Linsen gerade noch etwas Biss haben.', 'Frühlingszwiebeln und Möhren waschen, putzen und klein schneiden.', 'Zwiebel und Knoblauchzehe schälen, fein würfeln und mit dem Gemüse im Olivenöl 5 Minuten andünsten.', 'Gedünstete Gemüse mit Linsen, Haferflocken, Mehl, Kräutern, Ei und Quark verrühren. Kräftig mit Pfeffer, Salz, Zitronensaft und Kümmel abschmecken.', '2 EL Öl in einer Pfanne erhitzen. Mit einem Löffel vier Portionen der Linsenmasse ins heiße Öl geben, glatt streichen und bei mittlerer Hitze circa 5 Minuten braten, vorsichtig wenden und in 3 Minuten fertig braten. Mit der restlichen Masse genauso verfahren.']"
Teigtaschen (Piroschki) mit Gemüsefüllung (für 16 Teigtaschen),"['250 g Weizenvollkornmehl', '1/2 Würfel Hefe', '1 TL Honig', '300 ml lauwarmes Wasser', '2 TL Salz']","['Hefe und Honig im warmen Wasser auflösen. Zum Mehl gießen und zu einem glatten Teig verarbeiten. Salz unterkneten und den Teig 30\xa0Minuten gehen lassen.', 'Zwiebel schälen und fein würfeln.', 'Lauch waschen, putzen und in feine Ringe schneiden.', 'Zwiebeln in heißem Öl glasig dünsten, Lauch dazugeben und bei geschlossenem Deckel und geringer Hitzezufuhr 10\xa0Minuten schmoren lassen.', 'Saure Sahne unter das Gemüse ziehen und mit Pfeffer und Salz würzen.', 'Den Teig auf einer bemehlten Fläche sehr dünn ausrollen und Kreise mit etwa 10\xa0Zentimeter Durchmesser ausstechen oder ausschneiden.', 'Auf eine Kreishälfte etwa einen Teelöffel Füllung geben, dabei nicht den Rand bedecken.', 'Eigelb und Eiweiß gut miteinander vermischen.', 'Den Rand mit Ei bestreichen, die Kreise zu halbmondförmigen Taschen zusammenschlagen und die Ränder fest andrücken.', 'Gemüsetaschen auf ein gefettetes oder mit Backpapier ausgelegtes Backblech legen. Die Oberseite mit Ei bepinseln und mit etwas Sesam bestreuen.', 'In den kalten Backofen schieben und bei 200\xa0Grad Celsius 20\xa0Minuten backen.']"
Fruchtiger Sauerkrautsalat (für 4 Portionen),"['600 g Sauerkraut', '50 g Rosinen', '50 g getrocknete Aprikosen', '50 g getrocknete Pflaumen', 'Saft einer Orange', '75 g Sonnenblumenkern', '1 kleiner Apfel', '150 g saure Sahne', '1 EL Sonnenblumenöl', 'Salz, schwarzer Pfeffer']","['Dörrobst waschen, abtropfen lassen und einige Stunden beziehungsweise über Nacht im Orangensaft quellen lassen.', 'Sonnenblumenkerne in einer trockenen Pfanne bei mittlerer Hitze anrösten.', 'Apfel waschen, das Kerngehäuse entfernen, achteln und in Scheibchen schneiden.', 'Orangensaft vom Dörrobst abgießen und mit saurer Sahne, Öl, Pfeffer und Salz zu einer Salatsoße verrühren.', 'Große Dörrobststücke klein schneiden.', 'Dörrobst, Apfelscheibchen und Sonnenblumenkerne unter das Sauerkraut mischen.', 'Die Salatsoße darüber gießen und servieren.']"
Spinatrisotto (für 4 Portionen),"['1 kg Spinat', '1 Zwiebel', '1 Knoblauchzehe', '2 EL Olivenöl', '500 g Rundkorn-Vollkornreis', '1 l Gemüsebrühe', 'Salz, Pfeffer, Muskat', '100 g geriebener Käse (am besten Parmesan)']","['Spinat putzen, waschen, tropfnass in einen heißen trockenen Topf geben und unter Rühren dünsten, bis er zusammenfällt. In ein Sieb geben und beiseite stellen.', 'Zwiebel und Knoblauch schälen, fein hacken und im Olivenöl glasig dünsten.', 'Reis zu den Zwiebeln geben, kurz anbraten und mit Gemüsebrühe ablöschen. Aufkochen lassen und 15\xa0Minuten auf kleiner Flamme zugedeckt köcheln lassen.', 'Spinat zum Reis geben und zusammen weitere 15\xa0Minuten im geschlossenen Topf köcheln lassen.', 'Mit Salz, Pfeffer und Muskat würzen.', 'Käse unterrühren und sofort servieren.']"
Streusel-Auflauf mit Rhabarber (für 4 Portionen),"['100 g Haferflocken', '200 g Weizenvollkornmehl', '100 g Vollrohrzucker', '1 Prise Salz', '1/2 TL Zimt', '80 g kalte Butter']","['Haferflocken, Mehl, Zucker, Salz und Zimt vermengen und die Butter in Flöckchen darauf verteilen.', 'Alles mit den Knethaken des Rührgeräts zu einem Streuselteig verkneten.', 'Den Teig abgedeckt in den Kühlschrank stellen.']"
Erdbeer-Rhabarber-Grütze (für 4 Portionen),"['500 g Rhabarber', '250 g Erdbeeren', '400 ml Apfelsaft', '2 EL Maisstärke', '1/2 TL Zimt', '1 Msp. gemahlene Vanille', '2 EL Honig']","['Rhabarber und Erdbeeren waschen. Rhabarber schälen und Erdbeeren putzen. Beides in mundgerechte Stücke schneiden.', '100\xa0ml kalten Apfelsaft mit Stärke, Honig, Vanille und Zimt verrühren und zur Seite stellen. Restlichen Apfelsaft zum Kochen bringen. Rhabarber dazugeben und bei geringer Hitzezufuhr knapp 5\xa0Minuten köcheln lassen.', 'Den Topf von der Herdplatte nehmen, die Herdplatte ausschalten, die Stärkemischung in die Grütze einrühren und diese auf der heißen Herdplatte nochmals kurz aufkochen lassen.', 'Die Erdbeeren vorsichtig unterheben.']"
Grünkernaufstrich (für 10 Portionen),"['50 g Grünkernschrot', '125 ml Wasser', '4 EL Olivenöl', '1 Zwiebel', 'Salz, Pfeffer', '1/2 TL Majoran', '1/2 TL Liebstöckel', '2 EL Petersilie, gehackt']","['Grünkernschrot mit Wasser aufkochen und circa 20 Minuten bei schwacher Hitze ausquellen lassen.', 'Zwiebel schälen, in kleine Würfel schneiden und in einem Esslöffel Olivenöl glasig dünsten.', 'Grünkern zusammen mit der Zwiebel pürieren, weitere drei Esslöffel Olivenöl unterrühren.', 'Mit den gehackten Kräutern und den Gewürzen kräftig abschmecken.']"
Kohlrabigratin mit Ingwer (für  4 Portionen),"['4 Kohlrabi', '20 g Butter', 'Saft 1/2 Zitrone', '20 g frischer Ingwer oder ersatzweise 1 TL Ingwerpulver', '200 ml süße Sahne', '1 Ei', '100 g Emmentaler', 'Salz, schwarzer Pfeffer']","['Kohlrabi waschen und schälen. Die zarten Blättchen waschen und zur Seite legen. Die Knollen grob raspeln und in eine mit Butter gefettete Auflaufform geben.', 'Den Zitronensaft über das Gemüse träufeln.', 'Ingwer fein zerreiben und Kohlrabigrün fein hacken.', 'Beides mit Ei, Sahne, Pfeffer und Salz verrühren und über das Gemüse gießen.', 'Den Käse fein reiben und über das Gratin streuen.', 'Die restliche Butter in Flöckchen darauf verteilen.', 'Das Gratin bei 200 Grad Celsius 40 Minuten backen, bis der Käse goldbraun ist.']"
Mangold-Strudel (für 4 Portionen),"['250 g fein gemahlenes\xa0 Dinkelvollkornmehl', '1/2 TL Salz', '4 EL kaltgepresstes Sonnenblumenöl', 'ca. 1/8 l lauwarmes Wasser']","['Mehl, Salz und Sonnenblumenöl vermischen. Wasser nach und nach dazugeben und mit den Knethaken eines Rührgeräts alles zu einem glatten, zähen Teig formen. Diesen mit der Hand nochmals kräftig durchkneten und mehrfach auf den Tisch schlagen. Den Teig abgedeckt bei Zimmertemperatur etwa 1 Stunde ruhen lassen.', 'Inzwischen Mangold waschen, putzen und grob zerschneiden.', 'Zwiebel und Knoblauchzehe schälen, würfeln und im Öl glasig dünsten. Mangold tropfnass dazugeben und unter Rühren dünsten, bis er zusammenfällt.', 'Petersilie waschen und fein zerhacken.', 'Überschüssige Flüssigkeit vom Mangold abgießen. Das Gemüse mit Thymian, Pfeffer und Salz kräftig abschmecken, kurz abkühlen lassen und Hüttenkäse und Petersilie unterziehen.', 'Den Teig auf einem bemehlten Geschirrtuch möglichst dünn ausrollen, mit 2/3 der flüssigen Butter bestreichen und mit Semmelbröseln bestreuen.', 'Das Gemüse nicht ganz bis zum Rand verteilen. Die Ränder einschlagen und den Teig mit Hilfe des Geschirrtuchs zu einem Strudel aufrollen.', 'Den Strudel auf ein gefettetes Backblech legen und mit der restlichen Butter bestreichen.', 'In den kalten Ofen schieben und bei 200 Grad Celsius auf der mittleren Schiebeleiste 45 Minuten backen.']"
Marinierter Spargel mit Backofenkartoffeln (für 4 Portionen),"['2 kg Spargel', '3 l Wasser', '1 TL Salz', '1 TL Zucker', '1 Stich Butter', '1/4 Zitrone']","['Kartoffeln bürsten, längs halbieren und rundum mit Olivenöl bepinseln.', 'Mit der Schnittfläche nach unten auf ein Backblech setzen und mit Salz und Sesam bestreuen.', 'Im Ofen bei 200\xa0Grad Celsius circa 40\xa0Minuten backen.', 'Spargel schälen.', 'Wasser, Salz, Zucker, Butter und Zitrone in einem länglichen Topf (zum Beispiel im Bräter) aufsetzen und zum Kochen bringen.', 'Spargel ins kochende Wasser geben und ein Küchentuch so auf den Topf legen, dass es die Stangen unter Wasser hält. Bei mittlerer Hitze 15\xa0Minuten garen. Garprobe machen und gegebenenfalls weitere 5\xa0Minuten garen.', 'Zutaten für die Marinade miteinander vermischen.', 'Spargel aus dem Kochwasser nehmen und auf eine Platte oder in einer flachen Auflaufform anrichten. Mit der Marinade übergießen und etwas ziehen lassen. Lauwarm oder kalt zu den gebackenen Kartoffeln servieren.']"
Spargelfrikassee mit Eiern (für 4 Portionen),"['750 g Spargel', '4 Eier', '1 kg junge Kartoffeln', '1 Tasse Milch', '2 EL Weizenvollkornmehl', 'frische Petersilie', 'Salz, Pfeffer, Muskat', '2 EL Zitronensaft', '1 EL Butter']","['Spargel schälen und in 3 Zentimeter lange Stücke schneiden.', 'Spargelstücke in wenig Wasser mit je einer Prise Salz und Zucker bissfest garen.', 'Spargel warm stellen, Brühe aufheben.', 'Eier hart kochen, pellen und vierteln.', 'Kartoffeln als Salzkartoffeln kochen, warm stellen.', 'Mehl in kalter Milch anrühren, damit die Spargelbrühe binden.', 'Mit Salz, Muskat und Pfeffer würzen, mit Zitronensaft abschmecken.', 'Eier und Spargel zur Sauce geben, mit Butter verfeinern.', 'Petersilie fein hacken.', 'Das Frikassee mit jungen Kartoffeln auf Tellern anrichten und mit Petersilie bestreuen.']"
Spinatpizza (für 4 Portionen),"['400 g Vollkornweizenmehl', '30 g Hefe', '1 TL Honig', '1/4 l Milch', '1 Ei', '60 g Butter', 'Salz', '3 EL Olivenöl', '1 EL Tomatenmark', '4 EL Quark', 'Oregano', '1 Zwiebel', 'Pfeffer, Muskat', '1 kg Spinat, frisch', '200 g Reibkäse']","['Das Weizenvollkornmehl in eine große Schüssel geben, in die Mitte eine Mulde machen, dort hinein die Hefe bröckeln, die auf 37\xa0Grad Celsius erwärmte Milch, das aufgeschlagene Ei und die zerlassene Butter (lauwarm) sowie eine Prise Salz und Honig unterrühren.', 'Nach und nach das Mehl unterkneten.', 'Den Teig mit einem Tuch zudecken und an einem warmen Ort gehen lassen, bis sich sein Volumen verdoppelt hat (circa eine Stunde).', 'Den Teig ausrollen, auf ein gefettetes Backblech geben, noch etwa 30\xa0Minuten gehen lassen.', 'Quark, Tomatenmark und zwei Esslöffel Olivenöl verrühren, mit Oregano würzen. Diese Masse gleichmäßig auf den Pizzaboden streichen.', 'Zwiebel schälen, würfeln, in einem großen Topf mit einem Esslöffel Olivenöl andünsten.', 'Spinat putzen, waschen, schleudern, in mundgerechte Stücke teilen und zu den Zwiebeln geben.', 'Dort nur kurz erhitzen, bis er zusammenfällt, mit Muskat, Salz und Pfeffer würzen.', 'Spinat und Zwiebeln auf den Pizzaboden geben, mit geriebenem Käse bestreuen.', 'Die Pizza im vorgeheizten Backofen auf der unteren Schiene bei 200\xa0Grad Celsius circa 20\xa0Minuten backen.']"
